region_code,latitude,longitude,hospital_count,hospital_beds,access_distance_km,access_duration_min,access_method,route_exact_share_pct
26140,35.10246354166134,129.0150020057147,12,4458,1.22,4.75,kakao_car,100.0
26170,35.12830704386508,129.0449281455033,14,2783,1.72,5.99,kakao_car,100.0
26200,35.07874245677654,129.06491975766713,9,1858,0.96,3.78,kakao_car,100.0
26230,35.16522518828514,129.0432298492758,34,6512,1.27,4.55,kakao_car,94.1
26260,35.20626301927608,129.07926266827295,37,6426,1.02,4.21,kakao_car,100.0
26290,35.125301453818025,129.0944073286433,18,3304,1.19,4.38,kakao_car,100.0
26320,35.229186703639066,129.02336436185547,25,3981,1.65,5.4,kakao_car,85.6
26350,35.19344091883286,129.1538235340723,30,5063,1.08,4.25,kakao_car,94.3
26380,35.08595460130614,128.97055814335647,42,6483,1.58,4.39,kakao_car,100.0
26410,35.258778798597525,129.09161674815664,30,4892,1.62,4.77,kakao_car,90.5
26440,35.13634007845638,128.89087503156867,6,465,3.55,7.72,kakao_car,80.1
26470,35.18245646959118,129.083227815011,28,4262,0.8,3.02,kakao_car,100.0
26500,35.161171626206595,129.11128014862223,18,3660,1.04,3.92,kakao_car,100.0
26530,35.15804056687027,128.98662957693742,28,6501,1.85,4.74,kakao_car,100.0
26710,35.2977757073514,129.20114012908857,10,1462,4.29,7.48,kakao_car,100.0
27110,35.866533443609505,128.59360128120247,15,2746,0.67,2.66,kakao_car,100.0
27140,35.934496239106224,128.68559111826534,19,3478,2.31,6.27,kakao_car,99.0
27170,35.87508690949879,128.54970366203435,24,4675,0.95,3.59,kakao_car,100.0
27200,35.83509577700046,128.585185529072,16,4253,1.69,5.1,kakao_car,90.6
27230,35.92863054032665,128.57727304687435,38,6983,1.69,5.15,kakao_car,100.0
27260,35.83372426738576,128.66121941506222,27,3788,2.19,6.12,kakao_car,92.3
27290,35.827664987254614,128.5288484338479,43,8436,1.49,5.19,kakao_car,94.0
27710,35.75947009240467,128.4983281429884,14,2302,4.01,8.89,kakao_car,97.4
27720,36.17015639739837,128.64811024827353,0,0,12.95,15.12,kakao_car,44.6
28110,37.47044863903572,126.48407826216508,9,2013,3.91,10.38,kakao_car,98.0
28140,37.4834084923534,126.63928598583158,2,516,1.36,5.31,kakao_car,100.0
28177,37.45283239907501,126.6646466199222,33,5646,1.32,5.0,kakao_car,100.0
28185,37.39149188440504,126.64878349232038,10,1547,2.4,6.93,kakao_car,90.9
28200,37.43096699419459,126.7264513009023,33,6528,1.35,4.82,kakao_car,100.0
28237,37.4966699653078,126.7211665540093,15,3057,1.38,5.32,kakao_car,100.0
28245,37.55732022341599,126.73474091702477,19,3524,1.93,5.48,kakao_car,100.0
28260,37.55954876653604,126.6518116759436,30,5548,2.15,6.71,kakao_car,100.0
28710,37.712591725073125,126.40233872317768,5,736,5.41,11.22,kakao_car,93.1
28720,37.52380003815761,125.6761602894219,1,30,37.68,109.17,kakao_car,23.7
29110,35.117329141626854,126.94935063244048,22,5193,1.03,3.68,kakao_car,83.7
29140,35.135673408228875,126.85071496790805,35,4261,1.09,3.59,kakao_car,100.0
29155,35.094044889362394,126.85653159550692,27,4607,1.05,3.18,kakao_car,100.0
29170,35.193175941081385,126.92545488328444,52,8375,1.6,4.41,kakao_car,100.0
29200,35.16504182355117,126.7529508526279,39,8111,2.44,4.85,kakao_car,100.0
